x,y,t
-16936,-13013,1729273237.3124652
-17031,-12925,1729273237.3284643
-17121,-12832,1729273237.3494644
-17201,-12737,1729273237.4754722
-17232,-12647,1729273237.5025086
-17259,-12561,1729273237.5685089
-17270,-12482,1729273237.6072187
-17260,-12415,1729273237.6382196
-17247,-12352,1729273237.6672184
-17225,-12292,1729273237.7152202
-17193,-12236,1729273237.73722
-17159,-12183,1729273237.7802188
-17127,-12135,1729273237.7988436
-17095,-12091,1729273237.819346
-17062,-12050,1729273237.8443534
-17030,-12013,1729273237.859354
-16999,-11981,1729273237.8953848
-16979,-11960,1729273237.9103713
-16961,-11941,1729273237.9302835
-16943,-11924,1729273237.9513092
-16925,-11910,1729273237.973309
-16905,-11900,1729273237.9993093
-16882,-11890,1729273238.018309
-16857,-11900,1729273238.042309
-16829,-11910,1729273238.0643086
-16790,-11922,1729273238.0867066
-16753,-11936,1729273238.1117063
-16729,-11947,1729273238.1297069
-16710,-11957,1729273238.1467066
-16694,-11967,1729273238.1657088
-16678,-11977,1729273238.1907067
-16661,-11987,1729273238.2095485
-16643,-11997,1729273238.230905
-16622,-11997,1729273238.2479281
-16599,-11997,1729273238.271932
-16575,-11997,1729273238.2997413
-16554,-11987,1729273238.3137512
-16536,-11977,1729273238.3357646
-16520,-11967,1729273238.3587654
-16506,-11967,1729273238.3777652
-16492,-11977,1729273238.398333
-16477,-11987,1729273238.416342
-16461,-11997,1729273238.4418054
-16443,-12007,1729273238.460004
-16421,-12017,1729273238.486005
-16392,-12027,1729273238.5070043
-16345,-12038,1729273238.5280025
-16291,-12048,1729273238.5440032
-16236,-12058,1729273238.5661466
-16185,-12068,1729273238.587211
-16139,-12068,1729273238.6095574
-16112,-12058,1729273238.6296065
-16091,-12048,1729273238.6486206
-16075,-12038,1729273238.670033
-16061,-12028,1729273238.692033
-16048,-12018,1729273238.7102244
-16035,-12028,1729273238.733233
-16023,-12038,1729273238.7544203
-16011,-12050,1729273238.7771196
-16000,-12067,1729273238.7951264
-15989,-12088,1729273238.8171408
-15979,-12111,1729273238.8410668
-15969,-12133,1729273238.859709
-15959,-12154,1729273238.8837128
-15949,-12175,1729273238.9037087
-15939,-12196,1729273238.922711
-15928,-12216,1729273238.9497087
-15914,-12235,1729273238.9677093
-15898,-12253,1729273238.9917085
-15880,-12270,1729273239.008711
-15859,-12287,1729273239.0407104
-15834,-12303,1729273239.05671
-15796,-12320,1729273239.0837104
-15755,-12336,1729273239.1033673
-15711,-12351,1729273239.1233673
-15663,-12367,1729273239.1443675
-15613,-12385,1729273239.1623676
-15560,-12403,1729273239.1859794
-15507,-12423,1729273239.2087996
-15453,-12446,1729273239.2338047
-15397,-12471,1729273239.2498047
-15339,-12499,1729273239.273805
-15280,-12528,1729273239.2958045
-15222,-12558,1729273239.3118222
-15165,-12589,1729273239.3317518
-15111,-12620,1729273239.3537607
-15062,-12650,1729273239.3807607
-15019,-12677,1729273239.3975444
-14991,-12698,1729273239.4225438
-14969,-12718,1729273239.4440203
-14951,-12738,1729273239.4576147
-14936,-12760,1729273239.4806283
-14924,-12784,1729273239.5006297
-14914,-12811,1729273239.524628
-14904,-12839,1729273239.5440032
-14894,-12870,1729273239.564666
-14884,-12904,1729273239.5896742
-14874,-12941,1729273239.6142988
-14860,-12990,1729273239.6372998
-14848,-13043,1729273239.6572988
-14838,-13096,1729273239.6802993
-14838,-13138,1729273239.7002993
-14848,-13178,1729273239.7172992
-14858,-13217,1729273239.7388208
-14869,-13256,1729273239.7598348
-14880,-13295,1729273239.7808356
-14891,-13335,1729273239.798547
-14901,-13375,1729273239.8225744
-14911,-13416,1729273239.8405747
-14921,-13457,1729273239.8685718
-14931,-13499,1729273239.88566
-14945,-13539,1729273239.9066691
-14962,-13578,1729273239.9266849
-14984,-13615,1729273239.9446895
-15012,-13650,1729273239.9686844
